Fecha,K,L,M,N,O,Q,R,S,T,U,Y,Z,AA,BB,CC,DD,EE,GG,HH,II,JJ,AAA,BBB,CCC,FFF,OOO,RRR,SSS,UUU,VVV,XXX,YYY,AAAA,GGGG,HHHH,IIII,JJJJ,KKKK,LLLL,OOOO,PPPP,QQQQ,RRRR,XXXX,YYYY,ZZZZ,FFFFFF
1,,,,,,,,,,,,,,,,,,,,,,1.9,3.0,2.4,2.47,,,,,,,,,,,,,,10.23,3.1,9.16,17.8,13.83,,,,
2,2.76,2.5,4.65,2.8,2.95,4.06,3.54,2.51,2.66,2.05,2.61,5.47,2.8,2.49,5.64,3.43,4.16,3.53,3.77,18.82,9.44,,,,,2.7,8.53,8.34,1.56,4.1,4.9,3.2,4.4,7.36,6.41,18.07,8.89,11.74,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,17.49,10.24,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,11.9,12.4,11.9,10.8,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.7,5.5,9.3,7.0,7.2,,20.0,5.4,4.1,7.2,11.1,21.5,13.5,15.1,15.2,14.7,10.9,6.1,13.3,14.6,14.2,19.0,6.4,,14.1,5.5,9.9,10.7,4.9,6.6,15.4,4.3,5.3,17.1,12.2,26.9,78.5,20.7,30.1,13.8,30.4,19.8,36.5,25.2,48.5,14.9,6.9
11,,,,,,9.8,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,6.9
12,,,4.05,,,2.8,4.3,4.75,3.1,,,,,,,,,5.75,,4.2,,,,,,,,,4.2,,,3.45,,,,,14.65,,,12.3,,,,14.8,,11.85,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11.1,7.2,10.9,7.2,7.9,5.5,12.9,8.3,10.8,9.2,9.6,25.8,24.9,14.8,20.3,15.0,11.9,8.4,10.6,13.4,23.2,18.3,5.2,14.1,17.2,9.6,12.8,27.3,8.6,6.9,22.3,6.4,11.9,25.0,23.1,29.8,34.4,27.7,22.8,30.7,31.8,22.0,26.0,27.3,48.4,37.0,8.5
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15.7,14.4,11.3,10.7,10.3,8.0,14.2,10.1,11.9,10.8,10.3,30.0,25.8,15.3,22.5,17.5,16.9,9.2,14.1,14.2,30.3,16.9,11.8,19.1,19.9,14.7,15.1,30.5,10.6,7.6,25.2,9.5,12.2,27.4,24.8,32.8,37.2,31.2,24.5,32.4,38.8,26.0,31.3,30.7,58.5,43.5,23.2
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16.7,16.2,12.4,11.9,12.2,9.6,14.5,11.7,13.1,11.7,15.1,33.4,26.9,23.8,24.7,22.3,18.4,12.5,14.3,16.1,38.4,17.9,12.7,25.0,25.0,20.1,15.5,31.1,17.3,8.0,29.8,14.5,13.3,30.8,34.0,38.7,39.9,36.5,46.6,42.2,44.0,31.0,41.0,58.2,58.6,47.0,24.8
19,18.0,18.0,,13.0,14.7,11.4,16.5,13.6,14.3,14.0,19.4,35.1,29.1,26.1,25.9,28.4,19.0,13.2,16.6,17.3,40.0,19.9,14.4,26.1,26.8,21.2,16.9,33.0,,9.4,32.2,15.7,14.7,33.9,38.3,42.5,41.8,39.3,51.2,,45.4,33.0,,60.3,61.8,,
